date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
1993-05-10,China PR,6,1,Mongolia,False,,,East Asian Games,1993
1993-05-12,North Korea,7,0,Mongolia,True,,,East Asian Games,1993
1993-05-12,China PR,11,0,Macau,False,,,East Asian Games,1993
1993-05-14,China PR,1,1,North Korea,False,,,East Asian Games,1993
1993-05-16,North Korea,6,0,Macau,True,,,East Asian Games,1993
1993-05-18,Mongolia,4,3,Macau,True,,,East Asian Games,1993
1997-05-11,Mongolia,0,6,China PR,True,,,East Asian Games,1997
1997-05-11,Guam,0,12,Japan,True,,,East Asian Games,1997
1997-05-13,Kazakhstan,20,1,Guam,True,,,East Asian Games,1997
1997-05-13,Japan,5,0,Mongolia,True,,,East Asian Games,1997
1997-05-15,Guam,0,7,China PR,True,,,East Asian Games,1997
1997-05-15,Kazakhstan,2,2,Japan,True,,,East Asian Games,1997
1997-05-17,Mongolia,3,11,Kazakhstan,True,,,East Asian Games,1997
1997-05-17,China PR,2,0,Japan,True,,,East Asian Games,1997
1997-05-19,Guam,0,4,Mongolia,True,,,East Asian Games,1997
1997-05-19,China PR,0,0,Kazakhstan,True,,,East Asian Games,1997
2009-12-04,North Korea,8,0,Macau,True,,,East Asian Games,2009
