date,home_team,home_score,away_score,away_team,neutral,knockout,stage
Athletico-PR,,1,2,Grêmio,False,False,first
Internacional,2.0,2,Flamengo,False,False,first,
Bahia,2.0,1,Fortaleza,False,False,first,
São Paulo,4.0,0,Botafogo,False,False,first,
Botafogo,2.0,2,Ceará,False,False,first,
Corinthians,1.0,0,Internacional,False,False,first,
Coritiba,1.0,0,Atlético-GO,False,False,first,
Fortaleza,0.0,1,Fluminense,False,False,first,
Sport,1.0,0,Athletico-PR,,False,False,first
Flamengo,1.0,4,São Paulo,False,False,first,
Santos,3.0,1,Bahia,False,False,first,
Goiás,1.0,1,Vasco da Gama,False,False,first,
Palmeiras,3.0,0,Atlético-MG,False,False,first,
Grêmio,2.0,1,Bragantino,False,False,first,
Athletico-PR,,2,1,Fortaleza,False,False,first
São Paulo,2.0,1,Goiás,False,False,first,
Atlético-GO,1.0,1,Corinthians,False,False,first,
Internacional,2.0,2,Coritiba,False,False,first,
Vasco da Gama,0.0,1,Palmeiras,False,False,first,
Bragantino,1.0,1,Santos,False,False,first,
Atlético-MG,4.0,0,Flamengo,False,False,first,
Bahia,1.0,0,Botafogo,False,False,first,
Ceará,0.0,0,Sport,False,False,first,
Fluminense,0.0,1,Grêmio,False,False,first,
Sport,0.0,2,Vasco da Gama,False,False,first,
Santos,2.0,0,Internacional,False,False,first,
Goiás,0.0,1,Athletico-PR,,False,False,first
Grêmio,4.0,2,Ceará,False,False,first,
Fortaleza,2.0,3,São Paulo,False,False,first,
Corinthians,1.0,2,Atlético-MG,False,False,first,
Flamengo,1.0,1,Atlético-GO,False,False,first,
Palmeiras,2.0,0,Fluminense,False,False,first,
Coritiba,1.0,2,Bahia,False,False,first,
Botafogo,1.0,2,Bragantino,False,False,first,
Bragantino,4.0,0,Bahia,False,False,first,
Athletico-PR,,1,0,Santos,False,False,first
Flamengo,3.0,1,Coritiba,False,False,first,
Goiás,1.0,0,Palmeiras,False,False,first,
São Paulo,1.0,1,Vasco da Gama,False,False,first,
Ceará,2.0,2,Atlético-MG,False,False,first,
Botafogo,1.0,2,Fortaleza,False,False,first,
Internacional,1.0,2,Fluminense,False,False,first,
Corinthians,0.0,0,Grêmio,False,False,first,
Sport,0.0,1,Atlético-GO,False,False,first,
Atlético-MG,2.0,1,Botafogo,False,False,first,
Coritiba,0.0,1,Corinthians,False,False,first,
Fortaleza,1.0,1,Goiás,False,False,first,
Palmeiras,3.0,0,Athletico-PR,,False,False,first
Santos,4.0,2,Sport,False,False,first,
Bahia,1.0,3,São Paulo,False,False,first,
Atlético-GO,0.0,0,Internacional,False,False,first,
Vasco da Gama,1.0,4,Ceará,False,False,first,
Fluminense,0.0,0,Bragantino,False,False,first,
Grêmio,2.0,4,Flamengo,False,False,first,
Fortaleza,0.0,0,Corinthians,False,False,first,
Botafogo,0.0,1,Flamengo,False,False,first,
Santos,2.0,2,Palmeiras,False,False,first,
Fluminense,3.0,1,Athletico-PR,,False,False,first
Bahia,0.0,2,Ceará,False,False,first,
Coritiba,0.0,0,Bragantino,False,False,first,
Grêmio,4.0,0,Vasco da Gama,False,False,first,
São Paulo,1.0,0,Sport,False,False,first,
Atlético-MG,2.0,2,Internacional,False,False,first,
Atlético-GO,0.0,1,Goiás,False,False,first,
Bragantino,2.0,1,Fortaleza,False,False,first,
Athletico-PR,,0,1,Atlético-MG,False,False,first
Palmeiras,3.0,0,Bahia,False,False,first,
Internacional,2.0,1,Botafogo,False,False,first,
Ceará,1.0,2,Atlético-GO,False,False,first,
Goiás,0.0,0,Grêmio,False,False,first,
Flamengo,4.0,1,Santos,False,False,first,
Corinthians,1.0,0,São Paulo,False,False,first,
Sport,1.0,0,Coritiba,False,False,first,
Vasco da Gama,1.0,1,Fluminense,False,False,first,
São Paulo,3.0,0,Atlético-MG,False,False,first,
Atlético-GO,2.0,1,Fluminense,False,False,first,
Sport,1.0,1,Grêmio,False,False,first,
Internacional,2.0,0,Palmeiras,False,False,first,
Coritiba,1.0,2,Botafogo,False,False,first,
Bragantino,0.0,1,Athletico-PR,,False,False,first
Vasco da Gama,1.0,0,Santos,False,False,first,
Flamengo,4.0,3,Bahia,False,False,first,
Fortaleza,0.0,2,Ceará,False,False,first,
Corinthians,2.0,1,Goiás,False,False,first,
Atlético-MG,2.0,0,Coritiba,False,False,first,
Fortaleza,0.0,0,Flamengo,False,False,first,
Goiás,1.0,0,Sport,False,False,first,
Fluminense,1.0,2,São Paulo,False,False,first,
Botafogo,0.0,2,Corinthians,False,False,first,
Bahia,1.0,2,Internacional,False,False,first,
Palmeiras,1.0,0,Bragantino,False,False,first,
Santos,1.0,1,Ceará,False,False,first,
Athletico-PR,,3,0,Vasco da Gama,False,False,first
Grêmio,2.0,1,Atlético-GO,False,False,first,
Botafogo,0.0,2,Athletico-PR,,False,False,first
Grêmio,2.0,1,Bahia,False,False,first,
Coritiba,1.0,2,Goiás,False,False,first,
Sport,1.0,0,Fortaleza,False,False,first,
Flamengo,1.0,2,Fluminense,False,False,first,
Bragantino,4.0,2,São Paulo,False,False,first,
Ceará,0.0,2,Internacional,False,False,first,
Atlético-GO,0.0,0,Vasco da Gama,False,False,first,
Palmeiras,4.0,0,Corinthians,False,False,first,
Atlético-MG,2.0,0,Santos,False,False,first,
Coritiba,0.0,0,Athletico-PR,,False,False,first
Sport,0.0,1,Palmeiras,False,False,first,
Fortaleza,0.0,0,Grêmio,False,False,first,
Flamengo,0.0,2,Ceará,False,False,first,
São Paulo,0.0,1,Santos,False,False,first,
Internacional,1.0,0,Goiás,False,False,first,
Atlético-GO,1.0,1,Bahia,False,False,first,
Vasco da Gama,3.0,0,Botafogo,False,False,first,
Bragantino,2.0,2,Atlético-MG,False,False,first,
Corinthians,5.0,0,Fluminense,False,False,first,
Palmeiras,1.0,1,Grêmio,False,False,first,
Fluminense,1.0,0,Sport,False,False,first,
Vasco da Gama,0.0,1,Coritiba,False,False,first,
Santos,2.0,1,Botafogo,False,False,first,
Athletico-PR,,1,1,São Paulo,False,False,first
Atlético-MG,3.0,1,Atlético-GO,False,False,first,
Internacional,4.0,2,Fortaleza,False,False,first,
Ceará,1.0,2,Bragantino,False,False,first,
Goiás,0.0,3,Flamengo,False,False,first,
Bahia,2.0,1,Corinthians,False,False,first,
Botafogo,1.0,3,Atlético-GO,False,False,first,
Bahia,1.0,0,Athletico-PR,,False,False,first
Grêmio,1.0,1,Atlético-MG,False,False,first,
Coritiba,3.0,3,Fluminense,False,False,first,
São Paulo,1.0,5,Internacional,False,False,first,
Bragantino,4.0,1,Vasco da Gama,False,False,first,
Goiás,0.0,4,Ceará,False,False,first,
Fortaleza,2.0,0,Santos,False,False,first,
Flamengo,2.0,0,Palmeiras,False,False,first,
Corinthians,3.0,0,Sport,False,False,first,
São Paulo,1.0,1,Coritiba,False,False,first,
Vasco da Gama,3.0,2,Atlético-MG,False,False,first,
Athletico-PR,,2,1,Flamengo,False,False,first
Ceará,2.0,1,Palmeiras,False,False,first,
Internacional,2.0,1,Grêmio,False,False,first,
Sport,2.0,0,Bahia,False,False,first,
Atlético-GO,2.0,0,Fortaleza,False,False,first,
Santos,3.0,4,Goiás,False,False,first,
Fluminense,2.0,0,Botafogo,False,False,first,
Corinthians,0.0,2,Bragantino,False,False,first,
Coritiba,1.0,1,Grêmio,False,False,first,
Ceará,0.0,2,Athletico-PR,,False,False,first
Atlético-GO,2.0,1,São Paulo,False,False,first,
Vasco da Gama,0.0,0,Bahia,False,False,first,
Atlético-MG,2.0,0,Fortaleza,False,False,first,
Internacional,2.0,1,Bragantino,False,False,first,
Fluminense,3.0,0,Goiás,False,False,first,
Sport,0.0,3,Flamengo,False,False,first,
Palmeiras,1.0,1,Botafogo,False,False,first,
Santos,1.0,0,Corinthians,False,False,first,
Grêmio,3.0,3,Santos,False,False,first,
Bragantino,2.0,0,Atlético-GO,False,False,first,
Bahia,0.0,1,Fluminense,False,False,first,
Goiás,1.0,0,Atlético-MG,False,False,first,
Corinthians,2.0,1,Ceará,False,False,first,
Fortaleza,3.0,1,Coritiba,False,False,first,
Flamengo,2.0,0,Vasco da Gama,False,False,first,
Athletico-PR,,0,0,Internacional,False,False,first
Botafogo,0.0,1,Sport,False,False,first,
São Paulo,1.0,1,Palmeiras,False,False,first,
Bahia,3.0,3,Goiás,False,False,first,
Atlético-GO,1.0,1,Santos,False,False,first,
Bragantino,1.0,1,Flamengo,False,False,first,
Botafogo,2.0,5,Grêmio,False,False,first,
Internacional,1.0,2,Sport,False,False,first,
Fortaleza,3.0,0,Vasco da Gama,False,False,first,
São Paulo,1.0,1,Ceará,False,False,first,
Corinthians,3.0,3,Athletico-PR,,False,False,first
Fluminense,0.0,0,Atlético-MG,False,False,first,
Coritiba,1.0,0,Palmeiras,False,False,first,
Goiás,2.0,0,Botafogo,False,False,first,
Atlético-MG,1.0,1,Bahia,False,False,first,
Santos,2.0,0,Coritiba,False,False,first,
Vasco da Gama,0.0,2,Internacional,False,False,first,
Flamengo,2.0,1,Corinthians,False,False,first,
Palmeiras,3.0,0,Fortaleza,False,False,first,
Athletico-PR,,2,1,Atlético-GO,False,False,first
Grêmio,1.0,2,São Paulo,False,False,first,
Ceará,1.0,3,Fluminense,False,False,first,
Sport,0.0,0,Bragantino,False,False,first,
Coritiba,0.0,2,Ceará,False,False,first,
Fortaleza,0.0,4,Bahia,False,False,first,
Flamengo,2.0,1,Internacional,False,False,first,
Corinthians,0.0,0,Vasco da Gama,False,False,first,
Sport,2.0,3,Atlético-MG,False,False,first,
Santos,1.0,1,Fluminense,False,False,first,
Grêmio,1.0,0,Athletico-PR,,False,False,first
Goiás,0.0,0,Bragantino,False,False,first,
Palmeiras,1.0,1,Atlético-GO,False,False,first,
Botafogo,1.0,0,São Paulo,False,False,first,
Fluminense,2.0,0,Fortaleza,False,False,first,
Vasco da Gama,3.0,2,Goiás,False,False,first,
Athletico-PR,,2,0,Sport,False,False,first
Ceará,2.0,1,Botafogo,False,False,first,
Bragantino,1.0,0,Grêmio,False,False,first,
Bahia,2.0,0,Santos,False,False,first,
Atlético-GO,3.0,1,Coritiba,False,False,first,
Atlético-MG,2.0,0,Palmeiras,False,False,first,
São Paulo,2.0,1,Flamengo,False,False,first,
Internacional,0.0,0,Corinthians,False,False,first,
