date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
1971-08-07,Santa Cruz,1,4,Corinthians,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-07,Internacional,0,0,Fluminense,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-07,Palmeiras,1,0,Portuguesa-SP,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-07,Ceará,0,0,Vasco da Gama,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-07,Coritiba,0,2,Cruzeiro,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-07,São Paulo,0,3,Grêmio,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-07,Sport,1,0,Flamengo,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-07,Bahia,0,0,Santos,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-07,Atlético-MG,1,1,América-MG,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-07,Botafogo,0,0,América-GB,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-11,Ceará,0,1,Corinthians,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-11,Cruzeiro,2,1,Portuguesa-SP,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-11,Bahia,1,1,Flamengo,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-11,América-GB,0,2,Grêmio,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-11,Sport,0,2,Santos,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-12,Santa Cruz,1,0,Vasco da Gama,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-14,Santos,3,1,São Paulo,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-14,Botafogo,1,1,Flamengo,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-14,América-MG,1,1,América-GB,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-14,Grêmio,1,1,Atlético-MG,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-15,Coritiba,2,1,Portuguesa-SP,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-15,Corinthians,0,0,Palmeiras,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-15,Fluminense,0,1,Vasco da Gama,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-15,Ceará,0,0,Santa Cruz,False,False,First Round,Brasileirão Série A 2024,1971
1971-08-15,Cruzeiro,2,0,Internacional,False,False,First Round,Brasileirão Série A 2024,1971
