date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
2021-05-29,Cuiabá,2,2,Juventude,False,False,first,Brasileirão Série A 2024,2021
2021-05-29,Bahia,3,0,Santos,False,False,first,Brasileirão Série A 2024,2021
2021-05-29,São Paulo,0,0,Fluminense,False,False,first,Brasileirão Série A 2024,2021
2021-05-30,Atlético-MG,1,2,Fortaleza,False,False,first,Brasileirão Série A 2024,2021
2021-05-30,Ceará,3,2,Grêmio,False,False,first,Brasileirão Série A 2024,2021
2021-05-30,Flamengo,1,0,Palmeiras,False,False,first,Brasileirão Série A 2024,2021
2021-05-30,Chapecoense,0,3,RB Bragantino,False,False,first,Brasileirão Série A 2024,2021
2021-05-30,Corinthians,0,1,Atlético-GO,False,False,first,Brasileirão Série A 2024,2021
2021-05-30,Athletico-PR,1,0,América-MG,False,False,first,Brasileirão Série A 2024,2021
2021-05-30,Internacional,2,2,Sport,False,False,first,Brasileirão Série A 2024,2021
2021-06-05,Atlético-GO,2,0,São Paulo,False,False,first,Brasileirão Série A 2024,2021
2021-06-05,Santos,3,1,Ceará,False,False,first,Brasileirão Série A 2024,2021
2021-06-05,RB Bragantino,3,3,Bahia,False,False,first,Brasileirão Série A 2024,2021
2021-06-06,Fluminense,1,0,Cuiabá,False,False,first,Brasileirão Série A 2024,2021
2021-06-06,América-MG,0,1,Corinthians,False,False,first,Brasileirão Série A 2024,2021
2021-06-06,Fortaleza,5,1,Internacional,False,False,first,Brasileirão Série A 2024,2021
2021-06-06,Palmeiras,3,1,Chapecoense,False,False,first,Brasileirão Série A 2024,2021
2021-06-06,Juventude,0,3,Athletico-PR,False,False,first,Brasileirão Série A 2024,2021
2021-06-06,Sport,0,1,Atlético-MG,False,False,first,Brasileirão Série A 2024,2021
2021-06-12,Santos,0,0,Juventude,False,False,first,Brasileirão Série A 2024,2021
2021-06-12,Palmeiras,1,1,Corinthians,False,False,first,Brasileirão Série A 2024,2021
2021-06-13,Atlético-MG,1,0,São Paulo,False,False,first,Brasileirão Série A 2024,2021
2021-06-13,Grêmio,0,1,Athletico-PR,False,False,first,Brasileirão Série A 2024,2021
2021-06-13,Flamengo,2,0,América-MG,False,False,first,Brasileirão Série A 2024,2021
2021-06-13,Fortaleza,1,0,Sport,False,False,first,Brasileirão Série A 2024,2021
2021-06-13,Chapecoense,0,0,Ceará,False,False,first,Brasileirão Série A 2024,2021
2021-06-13,Bahia,0,1,Internacional,False,False,first,Brasileirão Série A 2024,2021
2021-06-13,RB Bragantino,2,2,Fluminense,False,False,first,Brasileirão Série A 2024,2021
2021-06-16,Internacional,0,1,Atlético-MG,False,False,first,Brasileirão Série A 2024,2021
2021-06-16,São Paulo,1,1,Chapecoense,False,False,first,Brasileirão Série A 2024,2021
2021-06-16,Corinthians,1,2,RB Bragantino,False,False,first,Brasileirão Série A 2024,2021
2021-06-16,Juventude,0,3,Palmeiras,False,False,first,Brasileirão Série A 2024,2021
2021-06-17,Ceará,1,2,Bahia,False,False,first,Brasileirão Série A 2024,2021
2021-06-17,América-MG,0,0,Cuiabá,False,False,first,Brasileirão Série A 2024,2021
2021-06-17,Atlético-GO,0,0,Fortaleza,False,False,first,Brasileirão Série A 2024,2021
2021-06-17,Fluminense,1,0,Santos,False,False,first,Brasileirão Série A 2024,2021
2021-06-17,Sport,1,0,Grêmio,False,False,first,Brasileirão Série A 2024,2021
2021-06-19,Flamengo,2,3,RB Bragantino,False,False,first,Brasileirão Série A 2024,2021
2021-06-20,Palmeiras,2,1,América-MG,False,False,first,Brasileirão Série A 2024,2021
2021-06-20,Bahia,0,0,Corinthians,False,False,first,Brasileirão Série A 2024,2021
2021-06-20,Internacional,1,1,Ceará,False,False,first,Brasileirão Série A 2024,2021
2021-06-20,Athletico-PR,2,1,Atlético-GO,False,False,first,Brasileirão Série A 2024,2021
2021-06-20,Fortaleza,1,1,Fluminense,False,False,first,Brasileirão Série A 2024,2021
2021-06-20,Santos,2,0,São Paulo,False,False,first,Brasileirão Série A 2024,2021
2021-06-20,Juventude,1,0,Sport,False,False,first,Brasileirão Série A 2024,2021
2021-06-21,Atlético-MG,1,1,Chapecoense,False,False,first,Brasileirão Série A 2024,2021
2021-06-23,São Paulo,2,2,Cuiabá,False,False,first,Brasileirão Série A 2024,2021
2021-06-23,Flamengo,2,1,Fortaleza,False,False,first,Brasileirão Série A 2024,2021
2021-06-23,RB Bragantino,3,1,Palmeiras,False,False,first,Brasileirão Série A 2024,2021
2021-06-23,Atlético-GO,1,0,Fluminense,False,False,first,Brasileirão Série A 2024,2021
2021-06-24,América-MG,1,1,Juventude,False,False,first,Brasileirão Série A 2024,2021
2021-06-24,Corinthians,2,1,Sport,False,False,first,Brasileirão Série A 2024,2021
2021-06-24,Chapecoense,1,2,Internacional,False,False,first,Brasileirão Série A 2024,2021
2021-06-24,Ceará,2,1,Atlético-MG,False,False,first,Brasileirão Série A 2024,2021
2021-06-24,Grêmio,2,2,Santos,False,False,first,Brasileirão Série A 2024,2021
2021-06-24,Bahia,2,1,Athletico-PR,False,False,first,Brasileirão Série A 2024,2021
2021-06-27,Juventude,1,0,Flamengo,False,False,first,Brasileirão Série A 2024,2021
2021-06-27,Fluminense,1,1,Corinthians,False,False,first,Brasileirão Série A 2024,2021
2021-06-27,Athletico-PR,2,2,Chapecoense,False,False,first,Brasileirão Série A 2024,2021
2021-06-27,Grêmio,0,0,Fortaleza,False,False,first,Brasileirão Série A 2024,2021
2021-06-27,Palmeiras,3,2,Bahia,False,False,first,Brasileirão Série A 2024,2021
2021-06-27,Santos,2,0,Atlético-MG,False,False,first,Brasileirão Série A 2024,2021
2021-06-27,América-MG,1,1,Internacional,False,False,first,Brasileirão Série A 2024,2021
2021-06-27,Ceará,1,1,São Paulo,False,False,first,Brasileirão Série A 2024,2021
2021-06-27,Sport,0,0,Cuiabá,False,False,first,Brasileirão Série A 2024,2021
2021-06-28,Atlético-GO,0,1,RB Bragantino,False,False,first,Brasileirão Série A 2024,2021
2021-06-30,Fluminense,1,4,Athletico-PR,False,False,first,Brasileirão Série A 2024,2021
2021-06-30,Fortaleza,3,2,Chapecoense,False,False,first,Brasileirão Série A 2024,2021
